,Date,Name,Duration,Distance,Speed,UpHill,DownHill
0,2023-11-13,,1.15,21.0,18.2,190 ,190 
1,2023-11-04,,2.6333333333333333,24.6,9.3,320 ,270 
2,2023-11-02,,1.35,25.5,18.8,230 ,220 
3,2023-10-30,,1.45,25.0,17.2,210 ,210 
4,2023-10-28,,1.85,30.4,16.4,290 ,270 
5,2023-10-27,,1.1166666666666667,21.0,18.7,200 ,200 
6,2023-10-24,,3.216666666666667,58.1,18.1,390 ,"2,27"
7,2023-10-18,,1.3,21.5,16.5,340 ,330 
8,2023-09-02,,1.9166666666666665,34.0,17.7,290 ,290 
9,2023-08-31,,1.15,21.6,18.8,190 ,190 
10,2023-08-29,,1.3833333333333333,24.6,17.8,220 ,220 
11,2023-08-26,,2.3666666666666667,38.3,16.2,300 ,300 
12,2023-08-24,,1.5833333333333335,28.6,18.1,210 ,210 
13,2023-08-22,lking Tour,1.3166666666666667,21.6,16.5,180 ,180 
14,2023-08-19,,2.45,38.7,15.8,440 ,450 
15,2023-08-16,,1.7,28.5,16.8,250 ,260 
16,2023-08-05,,3.15,45.4,14.4,220 ,260 
17,2023-08-02,ד ים עם ניר,2.25,36.1,16.0,340 ,350 
18,2023-07-31,,1.8166666666666667,30.5,16.9,260 ,260 
19,2023-07-29,,2.65,39.6,14.9,350 ,350 
20,2023-07-27,,1.5166666666666666,27.3,18.1,220 ,220 
21,2023-07-12, סיבוב מהיר,1.05,21.1,19.9,150 ,150 
22,2023-07-10,ד ישעי ןחזר,2.75,47.6,17.3,420 ,420 
23,2023-07-08,,3.283333333333333,48.2,14.7,320 ,340 
